norm_name_2,overall,pace,shooting,passing,dribbling,defending,physic,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Goals,Shots,SoT,SoT%,G/Sh,G/SoT,ShoDist,ShoFK,ShoPK,PKatt,PasTotCmp,PasTotAtt,PasTotCmp%,PasTotDist,PasTotPrgDist,PasShoCmp,PasShoAtt,PasShoCmp%,PasMedCmp,PasMedAtt,PasMedCmp%,PasLonCmp,PasLonAtt,PasLonCmp%,Assists,PasAss,Pas3rd,PPA,CrsPA,PasProg,PasAtt,PasLive,PasDead,PasFK,TB,Sw,PasCrs,TI,CK,CkIn,CkOut,CkStr,PasCmp,PasOff,PasBlocks,SCA,ScaPassLive,ScaPassDead,ScaDrib,ScaSh,ScaFld,ScaDef,GCA,GcaPassLive,GcaPassDead,GcaDrib,GcaSh,GcaFld,GcaDef,Tkl,TklWon,TklDef3rd,TklMid3rd,TklAtt3rd,TklDri,TklDriAtt,TklDri%,TklDriPast,Blocks,BlkSh,BlkPass,Int,Tkl+Int,Clr,Err,Touches,TouDefPen,TouDef3rd,TouMid3rd,TouAtt3rd,TouAttPen,TouLive,ToAtt,ToSuc,ToSuc%,ToTkl,ToTkl%,Carries,CarTotDist,CarPrgDist,CarProg,Car3rd,CPA,CarMis,CarDis,Rec,RecProg,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,TklW,PKwon,PKcon,OG,Recov,AerWon,AerLost,AerWon%,norm_name
thibautcourtois,90,,,,,,,84,89,75,89,90,46.0,560,Thibaut Courtois,BEL,GK,Real Madrid,La Liga,30,1992,15,15,1350,15.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.6,35.4,83.6,716.3,467.9,6.87,6.93,99.0,16.5,16.7,98.8,6.07,11.5,52.9,0.0,0.07,0.13,0.0,0.0,0.0,35.4,29.1,6.13,1.53,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,29.6,0.13,0.0,0.2,0.07,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.07,0.0,0.0,0.07,0.07,100.0,0.0,0.0,0.0,0.0,0.0,0.07,0.2,0.07,37.3,31.4,37.2,0.13,0.0,0.0,37.3,0.0,0.0,0.0,0.0,0.0,25.1,124.9,79.7,0.0,0.0,0.0,0.07,0.0,21.9,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,1.67,0.2,0.0,100.0,thibautcourtois
manuelneuer,90,,,,,,,87,88,91,91,88,56.0,1778,Manuel Neuer,GER,GK,Bayern Munich,Bundesliga,36,1986,12,12,1080,12.0,0,0.17,0.08,50.0,0.0,0.0,9.0,0.0,0.0,0.0,37.4,42.0,89.1,880.9,606.7,8.0,8.0,100.0,19.5,19.8,98.3,9.83,14.1,69.8,0.0,0.0,0.08,0.0,0.0,0.08,42.0,34.6,7.42,1.58,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,37.4,0.0,0.0,0.17,0.08,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.08,44.0,36.3,43.3,0.67,0.17,0.17,44.0,0.0,0.0,0.0,0.0,0.0,28.2,127.8,75.8,0.0,0.0,0.0,0.08,0.0,26.5,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,1.75,0.25,0.0,100.0,manuelneuer
janoblak,89,,,,,,,86,90,78,87,89,49.0,1819,Jan Oblak,SVN,GK,Atlético Madrid,La Liga,30,1993,18,18,1592,17.7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.2,28.6,63.6,519.1,390.6,3.5,3.5,100.0,8.36,8.53,98.0,6.21,16.3,38.2,0.0,0.0,0.06,0.0,0.0,0.0,28.6,18.1,10.3,2.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.2,0.17,0.0,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.0,30.0,27.3,29.8,0.17,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,14.7,69.5,35.6,0.0,0.0,0.0,0.0,0.0,12.8,0.0,0.06,0.0,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,1.07,0.06,0.0,100.0,janoblak
gianluigidonnarumma,88,,,,,,,90,83,79,85,89,52.0,725,Gianluigi Donnarumma,ITA,GK,Paris S-G,Ligue 1,23,1999,23,23,2070,23.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.5,25.9,87.1,450.1,292.9,7.0,7.04,99.4,11.7,12.0,97.5,3.26,6.26,52.1,0.0,0.0,0.0,0.0,0.0,0.0,25.9,19.4,6.43,1.22,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,22.5,0.0,0.0,0.04,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.3,0.04,27.6,24.6,27.4,0.26,0.0,0.0,27.6,0.0,0.0,0.0,0.0,0.0,19.5,89.0,54.3,0.0,0.04,0.0,0.0,0.0,12.8,0.0,0.09,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,1.48,0.22,0.04,83.3,gianluigidonnarumma
marc-andrestegen,88,,,,,,,86,85,87,85,90,47.0,2411,Marc-André ter Stegen,GER,GK,Barcelona,La Liga,30,1992,20,20,1800,20.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,37.8,84.8,791.0,539.9,6.3,6.4,98.4,16.6,17.0,97.9,8.9,14.2,62.7,0.0,0.05,0.3,0.0,0.0,0.05,37.8,31.3,6.5,1.6,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.2,0.1,39.1,29.1,38.6,0.45,0.0,0.0,39.1,0.0,0.0,0.0,0.0,0.0,25.6,122.6,84.3,0.0,0.0,0.0,0.05,0.05,24.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.2,0.0,100.0,marc-andreterstegen
mikemaignan,87,,,,,,,85,82,85,85,89,51.0,1508,Mike Maignan,FRA,GK,Milan,Serie A,27,1995,7,7,630,7.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.6,34.4,77.2,723.7,463.6,4.57,4.57,100.0,13.0,13.1,98.9,8.86,16.1,54.9,0.0,0.0,1.0,0.0,0.0,0.0,34.4,30.4,3.57,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.6,0.43,0.0,0.14,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.14,0.29,0.0,36.6,28.6,36.6,0.0,0.0,0.0,36.6,0.0,0.0,0.0,0.0,0.0,26.9,141.1,95.9,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,1.86,0.14,0.0,100.0,mikemaignan
hugolloris,87,,,,,,,88,83,74,84,88,61.0,1447,Hugo Lloris,FRA,GK,Tottenham,Premier League,36,1986,21,21,1890,21.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.5,29.8,78.9,566.0,353.0,7.19,7.29,98.7,10.0,10.1,99.5,6.24,12.2,51.2,0.0,0.0,0.57,0.0,0.0,0.0,29.8,21.1,8.52,0.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.5,0.14,0.05,0.24,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.05,0.0,0.0,0.05,0.1,50.0,0.05,0.0,0.0,0.0,0.05,0.1,0.52,0.19,32.5,29.7,32.4,0.05,0.0,0.0,32.5,0.0,0.0,0.0,0.0,0.0,17.8,100.4,61.7,0.0,0.0,0.0,0.1,0.0,14.4,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.05,0.0,0.0,0.05,1.29,0.29,0.14,66.7,hugolloris
edouardmendy,86,,,,,,,84,82,81,85,88,34.0,1640,Edouard Mendy,SEN,GK,Chelsea,Premier League,30,1992,9,8,765,8.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.1,31.5,79.5,586.7,400.2,8.12,8.12,100.0,10.2,10.4,98.9,6.24,12.6,49.5,0.0,0.0,0.47,0.0,0.0,0.0,31.5,24.2,7.29,0.71,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,25.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.24,33.6,29.1,33.3,0.35,0.0,0.0,33.6,0.12,0.0,0.0,0.12,100.0,18.8,87.5,46.9,0.0,0.0,0.0,0.0,0.0,17.4,0.0,0.12,0.0,0.0,0.0,0.24,0.0,0.0,0.0,0.0,0.0,0.0,1.65,0.24,0.0,100.0,edouardmendy
kevintrapp,86,,,,,,,84,82,79,85,87,46.0,2471,Kevin Trapp,GER,GK,Eint Frankfurt,Bundesliga,32,1990,18,18,1620,18.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.4,26.2,66.3,453.2,295.7,3.67,3.72,98.5,8.67,8.83,98.1,4.94,13.3,37.1,0.0,0.0,0.22,0.0,0.0,0.0,26.2,17.3,8.67,1.61,0.0,0.22,0.0,0.0,0.0,0.0,0.0,0.0,17.4,0.22,0.0,0.06,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.06,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.11,0.0,0.06,0.28,0.0,28.4,25.7,28.3,0.06,0.0,0.0,28.4,0.0,0.0,0.0,0.0,0.0,14.3,70.2,42.9,0.0,0.0,0.0,0.0,0.0,11.4,0.0,0.11,0.0,0.0,0.0,0.11,0.0,0.0,0.06,0.0,0.0,0.0,0.89,0.06,0.0,100.0,kevintrapp
yannsommer,85,,,,,,,78,81,82,86,90,50.0,2318,Yann Sommer,SUI,GK,Bayern Munich,Bundesliga,34,1988,5,5,450,5.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.4,42.6,87.8,869.6,568.2,8.4,8.4,100.0,20.2,20.4,99.0,8.8,13.4,65.7,0.0,0.0,0.4,0.0,0.0,0.2,42.6,36.0,6.6,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.4,0.0,0.4,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.0,43.8,33.2,42.8,1.0,0.0,0.0,43.8,0.0,0.0,0.0,0.0,0.0,30.0,123.2,63.0,0.0,0.0,0.0,0.0,0.0,29.4,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.4,0.2,66.7,yannsommer
